variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
BARI_SLEEP_CPAP_COMPLIANCE_092619.xlsx,CPAP compliance workbook,Restricted workbook containing PAP adherence downloads and diagnostic AHI fields,Local source input workbook,file,n/a,n/a,n/a,n/a,Restricted clinical source workbook,Loaded by AccessDb.py Sheet 1,must exist locally under data/private,Do not commit,ok
Bari HCO3 10-30-21-working.xlsx,Bariatric outcomes workbook,Restricted workbook containing bariatric surgery dates weights bicarbonate creatinine exclusions and demographics,Local source input workbook,file,n/a,n/a,n/a,n/a,Restricted clinical source workbook,Loaded by AccessDb.py Sheet 1,must exist locally under data/private,Do not commit,ok
PAT_ID,Patient identifier,Source patient identifier used only to join source workbooks,Required source field in outcomes workbook,identifier,n/a,integer-like values,n/a,blank invalid,Restricted source workbook,Replaced by sequential index in public-derived dataframe,must join to compliance workbook when available,Restricted identifier; never publish row-level source values,ok
MRN,Anonymized analysis row index,Sequential row index in derived dataframe,Legacy dataframe index replacing source MRN in createDataFrame,integer,n/a,positive integers,n/a,n/a,RecordsDb.createDataFrame,Generated sequentially from patient records,must be positive and unique in output,Not the source MRN,ok
BARI_SURGERY_DATE,Bariatric surgery date,Date of bariatric surgery,Required source field in outcomes workbook,date,date,n/a,n/a,blank allowed but limits derived timing,Restricted source workbook,Copied to derived DOS field,valid Excel date or parseable date,Needed for age and study-to-surgery timing,ok
DOB,Date of birth,Source birth date used to compute age at surgery,Restricted source field in outcomes workbook,date,date,n/a,n/a,blank allowed but age missing,Restricted source workbook,Used with surgery date to compute Age at Surgery,valid Excel date or parseable date,Restricted direct identifier; derived row-level output is local-only,ok
Sex,Sex,Patient sex used for Devine ideal body weight calculation,Source field and derived dataframe field,string,n/a,m | f,m = male | f = female,blank allowed but EWL unavailable,Restricted source workbook,Copied into PatientRecord and used by calc_ewl_list,must be m or f for intended legacy formula,Other coding should be reviewed before use,needs_review
CCI_SCORE,Charlson Comorbidity Index score,Comorbidity score from source workbook,Source and derived field,numeric,points,nonnegative numeric,n/a,blank allowed,Restricted source workbook,Copied to CCI,nonnegative numeric,Exact derivation not documented in repo,needs_review
HEIGHT_CM_DOS,Height at surgery,Height at day of surgery,Source field,numeric,cm,positive numeric,n/a,blank allowed but BMI/EWL unavailable,Restricted source workbook,Copied to Height_DOS and used for BMI/EWL,positive numeric,ok
WEIGHT_KG_DOS,Weight at surgery,Weight on day of surgery,Source field,numeric,kg,positive numeric,n/a,blank allowed but weight outcomes unavailable,Restricted source workbook,Copied to DOS Weight,positive numeric,ok
WEIGHT_KG_2_MONTH,Weight 2 months,Postoperative weight at 2 months,Source field,numeric,kg,positive numeric,n/a,blank allowed,Restricted source workbook,Copied to 2mo Weight,positive numeric,ok
WEIGHT_KG_4_MONTH,Weight 4 months,Postoperative weight at 4 months,Source field,numeric,kg,positive numeric,n/a,blank allowed,Restricted source workbook,Copied to 4mo Weight,positive numeric,ok
WEIGHT_KG_6_MONTH,Weight 6 months,Postoperative weight at 6 months,Source field,numeric,kg,positive numeric,n/a,blank allowed,Restricted source workbook,Copied to 6mo Weight,positive numeric,ok
WEIGHT_KG_1_YEAR,Weight 1 year,Postoperative weight at 1 year,Source field,numeric,kg,positive numeric,n/a,blank allowed,Restricted source workbook,Copied to 1y Weight,positive numeric,ok
WEIGHT_KG_2_YEAR,Weight 2 years,Postoperative weight at 2 years,Source field,numeric,kg,positive numeric,n/a,blank allowed,Restricted source workbook,Copied to 2y Weight,positive numeric,ok
WEIGHT_KG_3_YEAR,Weight 3 years,Postoperative weight at 3 years,Source field,numeric,kg,positive numeric,n/a,blank allowed,Restricted source workbook,Copied to 3y Weight,positive numeric,ok
WEIGHT_KG_4_YEAR,Weight 4 years,Postoperative weight at 4 years,Source field,numeric,kg,positive numeric,n/a,blank allowed,Restricted source workbook,Copied to 4y Weight,positive numeric,ok
WEIGHT_KG_5_YEAR,Weight 5 years,Postoperative weight at 5 years,Source field,numeric,kg,positive numeric,n/a,blank allowed,Restricted source workbook,Copied to 5y Weight,positive numeric,ok
Pre-op date,Preoperative lab date,Date of preoperative bicarbonate/creatinine assessment,Source field,date,date,n/a,n/a,blank allowed,Restricted source workbook,Copied to Pre Op Date,valid Excel date or parseable date,ok
HCO3 pre-op,Preoperative bicarbonate,Preoperative serum bicarbonate,Source field,numeric,mEq/L,finite numeric,n/a,blank allowed but OHS-risk cohort unavailable,Restricted source workbook,Copied to Pre Op HCO3,finite numeric,25 mEq/L cutoff used at elevation in legacy analysis,ok
sCr pre-op,Preoperative creatinine,Preoperative serum creatinine used for exclusion,Source field,numeric,mg/dL,finite nonnegative numeric,n/a,blank excluded by workflow,Restricted source workbook,Copied to Pre Op sCr,finite nonnegative numeric,Patients with baseline sCr over 1.3 excluded in legacy workflow,ok
HCO3 before,Immediate postoperative bicarbonate,Source field described in code as day 1-14 post-op and not used in current HCO3 order,Source field,numeric,mEq/L,finite numeric,n/a,blank allowed,Restricted source workbook,Parsed column label but excluded from current HCO3 trajectory,finite numeric if present,Definition should be reviewed before re-use,needs_review
HCO3 2 months,Bicarbonate 2 months,Postoperative serum bicarbonate around 2 months,Source field,numeric,mEq/L,finite numeric,n/a,blank allowed,Restricted source workbook,Copied to 2mo HCO3 and delta,finite numeric,ok
HCO3 4 months,Bicarbonate 4 months,Postoperative serum bicarbonate around 4 months,Source field,numeric,mEq/L,finite numeric,n/a,blank allowed,Restricted source workbook,Copied to 4mo HCO3 and delta,finite numeric,ok
HCO3 6 months,Bicarbonate 6 months,Postoperative serum bicarbonate around 6 months,Source field,numeric,mEq/L,finite numeric,n/a,blank allowed,Restricted source workbook,Copied to 6mo HCO3 and delta,finite numeric,ok
HCO3 1 year,Bicarbonate 1 year,Postoperative serum bicarbonate around 1 year,Source field,numeric,mEq/L,finite numeric,n/a,blank allowed,Restricted source workbook,Copied to 1y HCO3 and delta,finite numeric,ok
HCO3 2 year,Bicarbonate 2 years,Postoperative serum bicarbonate around 2 years,Source field,numeric,mEq/L,finite numeric,n/a,blank allowed,Restricted source workbook,Copied to 2y HCO3 and delta,finite numeric,ok
HCO3 3 year,Bicarbonate 3 years,Postoperative serum bicarbonate around 3 years,Source field,numeric,mEq/L,finite numeric,n/a,blank allowed,Restricted source workbook,Copied to 3y HCO3 and delta,finite numeric,ok
HCO3 4 year,Bicarbonate 4 years,Postoperative serum bicarbonate around 4 years,Source field,numeric,mEq/L,finite numeric,n/a,blank allowed,Restricted source workbook,Copied to 4y HCO3 and delta,finite numeric,ok
HCO3 5 year,Bicarbonate 5 years,Postoperative serum bicarbonate around 5 years,Source field,numeric,mEq/L,finite numeric,n/a,blank allowed,Restricted source workbook,Copied to 5y HCO3 and delta,finite numeric,ok
Exlusion Loop,Loop diuretic exclusion,Indicator for loop diuretic exclusion in source workbook,Source field,string,n/a,yes | no,yes = excluded | no = retained,blank treated as no by legacy code,Restricted source workbook,Copied to Loop Exclusion after getter correction,must be yes or no,Source label misspells Exclusion as Exlusion,ok
Exclusion Opiate,Opiate exclusion,Indicator for chronic opiate exclusion in source workbook,Source field,string,n/a,yes | no,yes = excluded | no = retained,blank treated as no by legacy code,Restricted source workbook,Copied to Opiate Exclusion after getter correction,must be yes or no,ok
Exclusion CA,Carbonic anhydrase inhibitor exclusion,Indicator for carbonic anhydrase inhibitor medication exclusion,Source field,string,n/a,yes | no,yes = excluded | no = retained,blank treated as no by legacy code,Restricted source workbook,Copied to CA Exclusion,must be yes or no,ok
Exclusion Other,Other acid-base medication exclusion,Indicator for other medication influencing acid-base status,Source field,string,n/a,yes | no,yes = excluded | no = retained,blank treated as no by legacy code,Restricted source workbook,Copied to Other Exclusion,must be yes or no,ok
Diag AHI,Diagnostic AHI,Diagnostic apnea-hypopnea index from compliance workbook column Q,Source/derived field,events/hour,nonnegative numeric,n/a,blank allowed,Restricted compliance workbook,Copied from adherence records,nonnegative numeric,Column position is fixed in legacy parser,ok
Avg Compliance,Average CPAP compliance,Weighted average percent of days with CPAP use at least 4 hours,Derived field,percent,0-100,n/a,0 when no compliance records,Compliance workbook,Sum of days times percent-days-4-hours divided by total days,0 to 100,Legacy code stores percentages not fractions,ok
Days Comp Records,Days of compliance records,Total days represented by available compliance downloads,Derived field,days,nonnegative integer,n/a,0 when no compliance records,Compliance workbook,Sum of Num_Days_Reported_Column across records,integer >= 0,ok
Max Weight Loss,Maximum weight loss,Weight at surgery minus lowest observed follow-up weight,Derived field,kg,finite numeric,n/a,blank if no surgery weight,RecordsDb.PatientRecord.maxWeightLoss,computed from weight sequence,can be 0 or positive,ok
Weight Regain,Weight regain,Last observed weight minus lowest observed weight,Derived field,kg,finite numeric,n/a,blank if no weights,RecordsDb.PatientRecord.weightRegain,computed from weight sequence,finite numeric,Can be 0,ok
Max Weight Loss Pct,Maximum percent weight loss,Percent decrease from day-of-surgery weight to lowest observed follow-up weight,Derived field,percent,finite numeric,n/a,blank if no surgery weight,RecordsDb.PatientRecord.percentWeightLoss,1 - min weight / DOS weight times 100,finite numeric,ok
Mean HCO3 Post Op,Mean postoperative bicarbonate,Mean available postoperative HCO3 values excluding pre-op value,Derived field,mEq/L,finite numeric,n/a,blank if no post-op values,RecordsDb.PatientRecord.getMeanPostOpHCO3,mean of HCO3 values at 2 months through 5 years,finite numeric,ok
All HCO3 Below 25,All postoperative HCO3 below 25,Flag indicating maximum postoperative bicarbonate is below 25 mEq/L,Derived field,boolean,n/a,True | False,True = all post-op below 25 | False = at least one post-op >= 25,blank if no post-op values,RecordsDb.PatientRecord.all_hco3_below_25,computed from max postoperative HCO3,boolean,25 mEq/L cutoff is elevation-adjusted legacy threshold,ok
outputs/legacy-python,Generated output directory,Local directory for generated tables figures and logs,Generated local artifact,directory,n/a,n/a,n/a,n/a,DataAnalysis.py,Selected by --output-dir,must be ignored by git,Do not commit generated contents,ok
